Heading,List Text,Bold Items,List Links
Lower Paleolithic[edit],"3.3 Mya - 2.6 Mya: Stone tools – found in present-day Kenya , they are so old that only a pre-human species could have invented them. [1] The otherwise earliest known stone tools ( Oldowan ) were found in Ethiopia [2] developed perhaps by Australopithecus garhi or Homo habilis [3] [4] [ further explanation needed ]",['3.3 Mya - 2.6 Mya:'],"['/wiki/Stone_tool', '/wiki/Kenya', '#cite_note-2', '/wiki/Oldowan', '/wiki/Ethiopia', '#cite_note-3', '/wiki/Australopithecus_garhi', '/wiki/Homo_habilis', '#cite_note-de_Heinzelin-4', '#cite_note-5', '/wiki/Wikipedia:Please_clarify']"
Lower Paleolithic[edit],"2.3 Mya: Earliest likely control of fire and cooking , by Homo habilis [5] [6] [7]",['2.3 Mya:'],"['/wiki/Control_of_fire_by_early_humans', '/wiki/Cooking', '/wiki/Homo_habilis', '#cite_note-6', '#cite_note-Miller-7', '#cite_note-James-8']"
Lower Paleolithic[edit],1.76 Mya: Advanced ( Acheulean ) stone tools in Kenya by Homo erectus [8] [9],['1.76 Mya:'],"['/wiki/Acheulean', '/wiki/Kenya', '/wiki/Homo_erectus', '#cite_note-9', '#cite_note-10']"
Lower Paleolithic[edit],1.75 Mya - 150 kya: Varying estimates for the origin of language [10] [11],['1.75 Mya - 150 kya:'],"['/wiki/Origin_of_language', '#cite_note-Uomini_e72693-11', '#cite_note-Perreault_2012-12']"
Lower Paleolithic[edit],1.5 Mya: Bone tools in Africa by Homo erectus [12],['1.5 Mya:'],"['/wiki/Bone_tool', '/wiki/Homo_erectus', '#cite_note-13']"
Lower Paleolithic[edit],900 kya - 40 kya: Boats [13] [14],['900 kya - 40 kya:'],"['/wiki/Boat', '#cite_note-Plakias2010-14', '#cite_note-15']"
Lower Paleolithic[edit],500 kya: Hafting in South Africa by Homo heidelbergensis [15],['500 kya:'],"['/wiki/Hafting', '/wiki/Homo_heidelbergensis', '#cite_note-16']"
Lower Paleolithic[edit],450 kya - 500 kya: Woodworking construction in Zambia by Homo heidelbergensis [16],['450 kya - 500 kya:'],"['/wiki/Woodworking', '/wiki/Zambia', '/wiki/Homo_heidelbergensis', '#cite_note-17']"
Lower Paleolithic[edit],400 kya: Pigments in Zambia by Homo heidelbergensis [17],['400 kya:'],"['/wiki/Pigment', '/wiki/Homo_heidelbergensis', '#cite_note-18']"
Lower Paleolithic[edit],400 kya - 300 kya: Spears in Germany [18] [19] likely by Homo heidelbergensis,['400 kya - 300 kya:'],"['/wiki/Spear', '/wiki/Germany', '#cite_note-19', '#cite_note-20', '/wiki/Homo_heidelbergensis']"
Middle Paleolithic[edit],"320 kya: The trade and long-distance transportation of resources (e.g. obsidian), use of pigments, and possible making of projectile points in Kenya [20] [21] [22]",['320 kya:'],"['/wiki/Trade', '/wiki/Transportation', '#cite_note-NPR-593591796-21', '#cite_note-The_Atlantic-555674-22', '#cite_note-Brooks-23']"
Middle Paleolithic[edit],279 kya: Early stone-tipped projectile weapons in Ethiopia [23],['279 kya:'],"['/wiki/Projectile_weapons', '#cite_note-SahlePLOS1-24']"
Middle Paleolithic[edit],"200 kya: Glue in Central Italy by Neanderthals. [24] More complicated compound adhesives developed by Homo sapiens have been found from c. 70 kya Sibudu, South Africa [25] and have been regarded as a sign of cognitive advancement. [26]",['200 kya:'],"['/wiki/Glue', '#cite_note-25', '#cite_note-Wadley-26', '#cite_note-27']"
Middle Paleolithic[edit],200 kya: Beds in South Africa. [27] [28] [29],['200 kya:'],"['/wiki/Beds', '#cite_note-28', '#cite_note-29', '#cite_note-30']"
Middle Paleolithic[edit],"170 kya - 83 kya: Clothing (among anatomically modern humans in Africa). [30] Some other evidence suggests that humans may have begun wearing clothing as far back as 100,000 to 500,000 years ago. [31]",['170 kya - 83 kya:'],"['/wiki/History_of_clothing_and_textiles', '#cite_note-31', '#cite_note-MB-2016-32']"
Middle Paleolithic[edit],164 kya - 47 kya: Heat treating of stone blades in South Africa. [32],['164 kya - 47 kya:'],['#cite_note-33']
Middle Paleolithic[edit],135 kya - 100 kya: Beads in Israel and Algeria [33],['135 kya - 100 kya:'],"['/wiki/Bead', '/wiki/Algeria', '#cite_note-34']"
Middle Paleolithic[edit],100 kya: Compound paints made in South Africa [34] [35] [36],['100 kya:'],"['/wiki/Paints', '#cite_note-bbc.com-15257259-35', '#cite_note-Washington_Post-2011/10/12/gIQApyHrhL-36', '#cite_note-Henshilwood_et_al._2011-37']"
Middle Paleolithic[edit],100 kya: Funerals (in the form of burial ) in Israel [37],['100 kya:'],"['/wiki/Burial', '#cite_note-lieberman2-38']"
Middle Paleolithic[edit],90 kya: Harpoons in the Democratic Republic of the Congo . [38],['90 kya:'],"['/wiki/Harpoons', '/wiki/Democratic_Republic_of_the_Congo', '#cite_note-39']"
Middle Paleolithic[edit],"70 kya - 60 kya: Oldest arrows (and evidence of bow-and-arrow technology), and oldest needle , at Sibudu , South Africa [39] [40] [41] [42] [43]",['70 kya - 60 kya:'],"['/wiki/Arrow', '/wiki/Sewing_needle', '/wiki/Sibudu_Cave', '#cite_note-Backwell-40', '#cite_note-41', '#cite_note-Lombard-42', '#cite_note-Lombard_M-43', '#cite_note-Backwell2018-44']"
Middle Paleolithic[edit],61 kya - 62 kya: Cave painting in Spain by Neanderthal [44],['61 kya - 62 kya:'],"['/wiki/Cave_painting', '/wiki/Spain', '/wiki/Neanderthal', '#cite_note-Hoffmann2018-45']"
Upper Paleolithic to Early Mesolithic[edit],"49 kya – 30 kya: Ground stone tools – fragments of an axe in Australia date to 49–45 ka, more appear in Japan closer to 30 ka, and elsewhere closer to the Neolithic. [45] [46]",['49 kya – 30 kya:'],"['/wiki/Ground_stone', '#cite_note-46', '#cite_note-47']"
Upper Paleolithic to Early Mesolithic[edit],"47 kya: The oldest-known mines in the world are from Eswatini, and extracted hematite for the production of the red pigment ochre . [47] [48]",['47 kya:'],"['/wiki/Ochre', '#cite_note-48', '#cite_note-49']"
Upper Paleolithic to Early Mesolithic[edit],"45 kya – 9 kya: Earliest evidence of shoes , suggested by changes in foot bone morphology in China by Tianyuan Man . [49] The earliest physical shoes found so far are bark sandals dated to 10 to 9 kya in Fort Rock Cave , United States . [50]",['45 kya – 9 kya:'],"['/wiki/Shoes', '/wiki/Tianyuan_Man', '#cite_note-50', '/wiki/Sandal', '/wiki/Fort_Rock_Cave', '/wiki/United_States', '#cite_note-Connolly_Tom-51']"
Upper Paleolithic to Early Mesolithic[edit],44 kya – 42 kya: Tally sticks (see Lebombo bone ) in Eswatini [51],['44 kya – 42 kya:'],"['/wiki/Tally_sticks', '/wiki/Lebombo_bone', '/wiki/Eswatini', '#cite_note-52']"
Upper Paleolithic to Early Mesolithic[edit],42 kya: Flute in Germany [52] [53],['42 kya:'],"['/wiki/Flute', '#cite_note-53', '#cite_note-54']"
Upper Paleolithic to Early Mesolithic[edit],37 kya: Mortar and pestle in Southwest Asia [54],['37 kya:'],"['/wiki/Mortar_and_pestle', '/wiki/Southwest_Asia', '#cite_note-55']"
Upper Paleolithic to Early Mesolithic[edit],"36 kya: Weaving – Indirect evidence from Moravia [55] [56] and Georgia . [57] The earliest actual piece of woven cloth was found in Çatalhöyük, Turkey. [58] [59]",['36 kya:'],"['/wiki/Weaving', '/wiki/Moravia', '#cite_note-56', '#cite_note-57', '/wiki/Georgia_(country)', '#cite_note-58', '#cite_note-59', '#cite_note-Langer-60']"
Upper Paleolithic to Early Mesolithic[edit],33 kya - 10 kya: Star chart in France [60] and Spain [61],['33 kya - 10 kya:'],"['/wiki/Star_chart', '/wiki/France', '#cite_note-61', '/wiki/Spain', '#cite_note-62']"
Upper Paleolithic to Early Mesolithic[edit],28 kya: Rope [62],['28 kya:'],"['/wiki/Rope', '#cite_note-63']"
Upper Paleolithic to Early Mesolithic[edit],26 kya: Ceramics in Europe [63],['26 kya:'],"['/wiki/Ceramics', '#cite_note-64']"
Upper Paleolithic to Early Mesolithic[edit],23 kya: Domestication of the dog in Siberia . [64],['23 kya:'],"['/wiki/Domestication_of_the_dog', '/wiki/Siberia', '#cite_note-Perri2021-65']"
Upper Paleolithic to Early Mesolithic[edit],22 kya: Fishing hook in Okinawa Island modern day Japan. [65] [66],['22 kya:'],"['/wiki/Fishing_hook', '/wiki/Okinawa_Island', '#cite_note-Price2016-66', '#cite_note-67']"
Upper Paleolithic to Early Mesolithic[edit],16 kya: Pottery in China [67],['16 kya:'],"['/wiki/Pottery', '/wiki/China', '#cite_note-68']"
Upper Paleolithic to Early Mesolithic[edit],14.5 kya: Bread in Jordan [68] [69],['14.5 kya:'],"['/wiki/Bread', '#cite_note-Briggs2018-69', '#cite_note-Arranz-Otaegui_Gonzalez_Carretero_Ramsey_Fuller_p=201801071-70']"
Neolithic and Late Mesolithic[edit],"10,000 BC - 9000 BC: Agriculture in the Fertile Crescent [70] [71]","['10,000 BC - 9000 BC:']","['/wiki/Agriculture', '/wiki/Fertile_Crescent', '#cite_note-71', '#cite_note-72']"
Neolithic and Late Mesolithic[edit],"10,000 BC - 9000 BC: Domestication of sheep in Southwest Asia [72] [73] (followed shortly by pigs, goats and cattle)","['10,000 BC - 9000 BC:']","['/wiki/Domestication', '/wiki/Sheep', '/wiki/Southwest_Asia', '#cite_note-73', '#cite_note-storey-74']"
Neolithic and Late Mesolithic[edit],9000 BC - 6000 BC: Domestication of rice in China [74],['9000 BC - 6000 BC:'],"['/wiki/Rice', '/wiki/China', '#cite_note-75']"
Neolithic and Late Mesolithic[edit],"9000 BC: Oldest known surviving building – Göbekli Tepe , in Turkey [75]",['9000 BC:'],"['/wiki/List_of_oldest_known_surviving_buildings', '/wiki/G%C3%B6bekli_Tepe', '/wiki/Turkey', '#cite_note-76']"
Neolithic and Late Mesolithic[edit],"9000 BC: Mudbricks , and clay mortar in Jericho . [76] [77] [78]",['9000 BC:'],"['/wiki/Mudbricks', '/wiki/Mortar_(masonry)', '/wiki/Jericho', '#cite_note-77', '#cite_note-:0-78', '#cite_note-79']"
